"node","Class","true_name","Degree"
"Hematocrit","Blood test","Hematocrit","26"
"Platelet_count","Blood test","Platelet_count","26"
"RDW","Blood test","RDW","26"
"Alk_P.TASE._Total._Ser.Plas","Blood test","Alk_P.TASE._Total._Ser.Plas","26"
"Albumin._Ser.Plas","Blood test","Albumin._Ser.Plas","26"
"EOS._.","Blood test","EOS._.","9"
"EOS._ABS","Blood test","EOS._ABS","9"
"CO2._Ser.Plas","Blood test","CO2._Ser.Plas","9"
"Chloride._Ser.Plas","Blood test","Chloride._Ser.Plas","5"
"WBC","Blood test","WBC","3"
"IL2","Cytokine","IL2","15"
"MCP1","Cytokine","MCP1","15"
"exposome_genus_Acremonium","Exposome (biological)","Acremonium","10"
"exposome_genus_Biomphalaria","Exposome (biological)","Biomphalaria","8"
"exposome_genus_Bipolaris","Exposome (biological)","Bipolaris","8"
"exposome_genus_Botrytis","Exposome (biological)","Botrytis","61"
"exposome_genus_Bulleromyces","Exposome (biological)","Bulleromyces","26"
"exposome_genus_Cenococcum","Exposome (biological)","Cenococcum","56"
"exposome_genus_Cercospora","Exposome (biological)","Cercospora","7"
"exposome_genus_Clonostachys","Exposome (biological)","Clonostachys","6"
"exposome_genus_Colletotrichum","Exposome (biological)","Colletotrichum","10"
"exposome_genus_Diplodia","Exposome (biological)","Diplodia","10"
"exposome_genus_Dothistroma","Exposome (biological)","Dothistroma","5"
"exposome_genus_Drechslerella","Exposome (biological)","Drechslerella","7"
"exposome_genus_Exophiala","Exposome (biological)","Exophiala","43"
"exposome_genus_Filobasidiella","Exposome (biological)","Filobasidiella","7"
"exposome_genus_Glonium","Exposome (biological)","Glonium","55"
"exposome_genus_Kwoniella","Exposome (biological)","Kwoniella","6"
"exposome_genus_Lecanosticta","Exposome (biological)","Lecanosticta","57"
"exposome_genus_Lepidopterella","Exposome (biological)","Lepidopterella","24"
"exposome_genus_Leptoxyphium","Exposome (biological)","Leptoxyphium","9"
"exposome_genus_Leucosporidium","Exposome (biological)","Leucosporidium","24"
"exposome_genus_Madurella","Exposome (biological)","Madurella","5"
"exposome_genus_Microdochium","Exposome (biological)","Microdochium","14"
"exposome_genus_Microvirga","Exposome (biological)","Microvirga","5"
"exposome_genus_Mycosphaerella","Exposome (biological)","Mycosphaerella","10"
"exposome_genus_Neofusicoccum","Exposome (biological)","Neofusicoccum","56"
"exposome_genus_Neonectria","Exposome (biological)","Neonectria","6"
"exposome_genus_Niastella","Exposome (biological)","Niastella","55"
"exposome_genus_Ochroconis","Exposome (biological)","Ochroconis","14"
"exposome_genus_Pantoea","Exposome (biological)","Pantoea","6"
"exposome_genus_Passalora","Exposome (biological)","Passalora","57"
"exposome_genus_Pedobacter","Exposome (biological)","Pedobacter","50"
"exposome_genus_Peltaster","Exposome (biological)","Peltaster","6"
"exposome_genus_Pestalotiopsis","Exposome (biological)","Pestalotiopsis","6"
"exposome_genus_Prunus","Exposome (biological)","Prunus","5"
"exposome_genus_Quercus","Exposome (biological)","Quercus","8"
"exposome_genus_Rasamsonia","Exposome (biological)","Rasamsonia","46"
"exposome_genus_Taphrina","Exposome (biological)","Taphrina","56"
"exposome_genus_Tolypocladium","Exposome (biological)","Tolypocladium","60"
"exposome_genus_Tremella","Exposome (biological)","Tremella","8"
"exposome_genus_Trichosporon","Exposome (biological)","Trichosporon","6"
"exposome_genus_Ustilago","Exposome (biological)","Ustilago","5"
"exposome_genus_Valsa","Exposome (biological)","Valsa","8"
"exposome_genus_Verticillium","Exposome (biological)","Verticillium","5"
"exposome_genus_Ziziphus","Exposome (biological)","Ziziphus","5"
"exposome_genus_Anoxybacillus","Exposome (biological)","Anoxybacillus","57"
"exposome_genus_Thielavia","Exposome (biological)","Thielavia","53"
"exposome_genus_Betula","Exposome (biological)","Betula","14"
"exposome_genus_Beverwykella","Exposome (biological)","Beverwykella","5"
"exposome_genus_Calycina","Exposome (biological)","Calycina","7"
"exposome_genus_Cryptococcus","Exposome (biological)","Cryptococcus","11"
"exposome_genus_Mucilaginibacter","Exposome (biological)","Mucilaginibacter","4"
"exposome_genus_Ophiognomonia","Exposome (biological)","Ophiognomonia","11"
"exposome_genus_Pseudocercospora","Exposome (biological)","Pseudocercospora","5"
"exposome_genus_Tilletia","Exposome (biological)","Tilletia","6"
"PM2644","Exposome (chemical)","Bis(2-ethylhexyl) phthalate","4"
"PM2688","Exposome (chemical)","Perfluorohexanesulfonic acid (PFHxS)","4"
"class_unclassified_Firmicutes","Gut microbiome","class_unclassified_Firmicutes","12"
"order_unclassified_Firmicutes","Gut microbiome","order_unclassified_Firmicutes","12"
