"node","Class","true_name","Degree"
"MCV","Blood test","MCV","6"
"MIP1A","Cytokine","MIP1A","4"
"IL10","Cytokine","IL10","4"
"IL1RA","Cytokine","IL1RA","4"
"RANTES","Cytokine","RANTES","4"
"TNFA","Cytokine","TNFA","4"
"MIP1B","Cytokine","MIP1B","4"
"TRAIL","Cytokine","TRAIL","4"
"IL18","Cytokine","IL18","4"
"MCSF","Cytokine","MCSF","4"
"FGFB","Cytokine","FGFB","4"
"CHEX2","Cytokine","CHEX2","4"
"exposome_genus_Humulus","Exposome (biological)","Humulus","25"
"exposome_genus_Preussia","Exposome (biological)","Preussia","25"
"exposome_genus_Segetibacter","Exposome (biological)","Segetibacter","25"
"exposome_genus_Sporothrix","Exposome (biological)","Sporothrix","79"
"exposome_genus_Chrysoporthe","Exposome (biological)","Chrysoporthe","62"
"exposome_genus_Isaria","Exposome (biological)","Isaria","85"
"exposome_genus_Paraphaeosphaeria","Exposome (biological)","Paraphaeosphaeria","82"
"exposome_genus_Picea","Exposome (biological)","Picea","16"
"exposome_genus_Pinus","Exposome (biological)","Pinus","16"
"exposome_genus_Zymoseptoria","Exposome (biological)","Zymoseptoria","16"
"pHILIC_740.5213_3.6","Metabolome","PC(33:4)(2)","4"
"pHILIC_738.5049_3.9","Metabolome","PE(36:5)","4"
"pHILIC_716.5208_3.9","Metabolome","PE(34:2)","4"
"pHILIC_179.0484_7.4","Metabolome","Cys-Gly or Gly-Cys","4"
"pHILIC_263.0732_7.6","Metabolome","Unknown_pHILIC_263.0732_7.6","4"
"pHILIC_139.0501_7.6","Metabolome","Urocanic acid","4"
"pHILIC_173.092_7.6","Metabolome","C7H12N2O3(2)","4"
"pHILIC_203.1388_8.9","Metabolome","Ala-Leu or Leu-Ala","4"
"nHILIC_740.525_4.5","Metabolome","PE(36:3)","4"
"nHILIC_512.2684_5.7","Metabolome","Chenodeoxycholic acid 3-sulfate","4"
"nHILIC_243.0621_5.8","Metabolome","Pseudouridine","4"
"nHILIC_190.0356_10.6","Metabolome","C6H9NO6","4"
"nHILIC_133.0142_10.4","Metabolome","L-Malic acid","4"
"nHILIC_104.0352_9.7","Metabolome","L-Serine","4"
"nHILIC_528.2633_6.7","Metabolome","C26H43NO8S","4"
"pRPLC_295.1292_1.3","Metabolome","gamma-glutamylphenylalanine","4"
"pRPLC_313.1548_3.5","Metabolome","Phenylalanylphenylalanine","4"
"pRPLC_211.1441_4.4","Metabolome","C11H18N2O2(1)","4"
"pRPLC_357.2786_9.8","Metabolome","C24H38O3(1)","4"
"pRPLC_445.3672_12.4","Metabolome","C29H48O3","4"
"nRPLC_391.2856_9.8","Metabolome","Chenodeoxycholic Acid(1)","4"
"nRPLC_229.0868_7.2","Metabolome","C14H14O3","4"
"nRPLC_257.1759_8.8","Metabolome","""C14:0,DC FA(2)""","4"
"nRPLC_165.0556_2.3","Metabolome","Phenyllactate (PLA)","4"
"nRPLC_465.2489_8.6","Metabolome","Androsterone glucuronide(1)","4"
"nRPLC_512.2683_10.8","Metabolome","Sulfolithocholylglycine","4"
"nRPLC_415.3217_11.4","Metabolome","Dihydroxyvitamin D3(1)","4"
"nRPLC_431.3164_10.9","Metabolome","C27H44O4(3)","4"
"nRPLC_385.332_10.8","Metabolome","MG(20:0)","4"
"nRPLC_433.3323_10.5","Metabolome","C27H46O4(3)","4"
"nRPLC_239.2016_10.1","Metabolome","C15:1 FA","4"
"nRPLC_275.2017_10","Metabolome","C18:4 FA","4"
"nRPLC_249.1859_9.8","Metabolome","C16:3 FA","4"
"nRPLC_188.0352_3.1","Metabolome","Kynurenic acid","4"
"pHILIC_542.3221_6","Metabolome","LysoPC(20:5)","9"
"pHILIC_282.119_6.7","Metabolome","N1-methyladenosine","9"
"nHILIC_235.0723_6.5","Metabolome","L-Formylkynurenine","9"
"nHILIC_425.0806_12.4","Metabolome","Cysteineglutathione disulfide","9"
"nHILIC_189.0404_7.2","Metabolome","C7H10O6","9"
"nHILIC_103.0399_5.4","Metabolome","Hydroxybutyric acid(2)","9"
"nRPLC_285.2072_9.6","Metabolome","""C16:0,DC FA(1)""","9"
"F10","Proteome","F10","4"
"HV348","Proteome","HV348","4"
"HV313","Proteome","HV313","4"
"HV330","Proteome","HV330","4"
"HV307_2","Proteome","HV307_2","4"
"ALB","Proteome","ALB","4"
"GC","Proteome","GC","4"
"CD14","Proteome","CD14","4"
"C6","Proteome","C6","4"
"IGFALS","Proteome","IGFALS","4"
"LUM","Proteome","LUM","4"
"LGALS3BP","Proteome","LGALS3BP","4"
"MYBPC2","Proteome","MYBPC2","4"
"FERMT3","Proteome","FERMT3","4"
"FETUB","Proteome","FETUB","4"
"TLN1","Proteome","TLN1","4"
"AGT","Proteome","AGT","9"
"C4B","Proteome","C4B","9"
"ITIH1","Proteome","ITIH1","9"
"SERPINF1","Proteome","SERPINF1","9"
"CRISP3","Proteome","CRISP3","9"
"TGFBI","Proteome","TGFBI","9"
"GPR116","Proteome","GPR116","9"
"CDK5RAP2","Proteome","CDK5RAP2","9"
"IL1RAP","Proteome","IL1RAP","9"
