"node","Class","true_name","Degree"
"MCH","Blood test","MCH","21"
"IL23","Cytokine","IL23","21"
"exposome_genus_Arthroderma","Exposome (biological)","Arthroderma","1"
"exposome_genus_Auricularia","Exposome (biological)","Auricularia","59"
"exposome_genus_Bacillus","Exposome (biological)","Bacillus","54"
"exposome_genus_Byssochlamys","Exposome (biological)","Byssochlamys","60"
"exposome_genus_Enterococcus","Exposome (biological)","Enterococcus","60"
"exposome_genus_Flammulina","Exposome (biological)","Flammulina","70"
"exposome_genus_Gloeophyllum","Exposome (biological)","Gloeophyllum","6"
"exposome_genus_Hymenoscyphus","Exposome (biological)","Hymenoscyphus","52"
"exposome_genus_Jaapia","Exposome (biological)","Jaapia","52"
"exposome_genus_Mycena","Exposome (biological)","Mycena","70"
"exposome_genus_Neolentinus","Exposome (biological)","Neolentinus","47"
"exposome_genus_Omphalotus","Exposome (biological)","Omphalotus","59"
"exposome_genus_Phellinus","Exposome (biological)","Phellinus","50"
"exposome_genus_Pisolithus","Exposome (biological)","Pisolithus","6"
"exposome_genus_Plicaturopsis","Exposome (biological)","Plicaturopsis","47"
"exposome_genus_Postia","Exposome (biological)","Postia","9"
"exposome_genus_Rosellinia","Exposome (biological)","Rosellinia","50"
"exposome_genus_Tulasnella","Exposome (biological)","Tulasnella","9"
"exposome_genus_Clavaria","Exposome (biological)","Clavaria","46"
"exposome_genus_Fraxinus","Exposome (biological)","Fraxinus","58"
"exposome_genus_Marssonina","Exposome (biological)","Marssonina","46"
"exposome_genus_Phytophthora","Exposome (biological)","Phytophthora","51"
"exposome_genus_Planomicrobium","Exposome (biological)","Planomicrobium","51"
"exposome_genus_Thermoascus","Exposome (biological)","Thermoascus","58"
"exposome_genus_Venturia","Exposome (biological)","Venturia","61"
"exposome_genus_Ktedonobacter","Exposome (biological)","Ktedonobacter","5"
"exposome_genus_Obba","Exposome (biological)","Obba","12"
"PM1171","Exposome (chemical)","Triethyl phosphate","51"
