"from","to","Correlation","p_value","fdr"
"X_Mean_Wind_SpeedKm.h","IL8",-1,0.0166666666666667,1.77815125038364
"X_Mean_Wind_SpeedKm.h","GMCSF",-1,0.0166666666666667,1.77815125038364
"X_Mean_Wind_SpeedKm.h","pHILIC_229.1543_7.2",-1,0.0166666666666667,1.77815125038364
"X_Mean_Wind_SpeedKm.h","nHILIC_204.0665_5.1",-1,0.0166666666666667,1.77815125038364
"X_Mean_Wind_SpeedKm.h","nHILIC_716.5258_4.7",1,0.0166666666666667,1.77815125038364
"X_Mean_Wind_SpeedKm.h","pRPLC_310.2014_5.1",1,0.0166666666666667,1.77815125038364
"X_Mean_Wind_SpeedKm.h","pRPLC_445.2947_10.3",-1,0.0166666666666667,1.77815125038364
"X_Mean_Wind_SpeedKm.h","LBP",1,0.0166666666666667,1.77815125038364
"X_Mean_Wind_SpeedKm.h","CAMP",1,0.0166666666666667,1.77815125038364
"X_Mean_Wind_SpeedKm.h","ATP11B",-1,0.0166666666666667,1.77815125038364
"exposome_genus_Hordeum","FASL",0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","IL27",0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","IL4",0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","IL5",0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","IL7",0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","IFNB",0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","IL13",0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","IL31",0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","IFNG",0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","GCSF",0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","IL8",0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","GMCSF",0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","pHILIC_257.1127_2",0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","pHILIC_360.2736_6.1",0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","nHILIC_194.0458_6.9",-0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","nHILIC_238.0929_7.3",-0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","nHILIC_280.0754_8.9",0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","nHILIC_194.0458_4.6",-0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","nHILIC_204.9811_1.1",-0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","pRPLC_269.1385_8",0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","nRPLC_187.134_7.5",0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","nRPLC_513.27_8.6",-0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","nRPLC_165.0557_3.2",-0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","nRPLC_159.1026_5.1",0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","nRPLC_499.2911_8.7",-0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","nRPLC_293.2122_9.9",0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","nRPLC_467.2649_8.8",0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","pHILIC_229.1543_7.2",0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","nHILIC_204.0665_5.1",0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","nHILIC_181.0506_6.2",0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","nHILIC_716.5258_4.7",-0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","pRPLC_310.2014_5.1",-0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","pRPLC_445.2947_10.3",0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","CP",0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","HV333_2",-0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","A1BG",0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","VCL",0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hordeum","C4BPB",0.974679434480896,0.00481823046819854,2.31711243043294
