"node","Class","true_name","Degree"
"exposome_genus_Brevibacillus","Exposome (biological)","Brevibacillus","11"
"exposome_genus_Capnocytophaga","Exposome (biological)","Capnocytophaga","11"
"exposome_genus_Gyalolechia","Exposome (biological)","Gyalolechia","9"
"exposome_genus_Haloferula","Exposome (biological)","Haloferula","9"
"exposome_genus_Geobacillus","Exposome (biological)","Geobacillus","8"
"exposome_genus_Metarhizium","Exposome (biological)","Metarhizium","8"
"exposome_genus_Stachybotrys","Exposome (biological)","Stachybotrys","8"
"exposome_genus_Stagonospora","Exposome (biological)","Stagonospora","8"
"NM4256","Exposome (chemical)","Diclofenac","7"
"NM4287","Exposome (chemical)","Perfluorobutanesulfonic acid (PFBS)","7"
"PM0034","Exposome (chemical)","1,4-Dioxane","7"
"PM0320","Exposome (chemical)","N-Nitrosodiethylamine","7"
"PM1040","Exposome (chemical)","4-Ipomeanol","7"
"PM1888","Exposome (chemical)","Omethoate","7"
"PM1890","Exposome (chemical)","Simetryn","7"
"PM1977","Exposome (chemical)","Mexacarbate","7"
"PM2383","Exposome (chemical)","3,3',4,4'-Tetrachloroazobenzene","7"
"phylum_Verrucomicrobia","Gut microbiome","phylum_Verrucomicrobia","23"
"class_Verrucomicrobiae","Gut microbiome","class_Verrucomicrobiae","23"
"order_Verrucomicrobiales","Gut microbiome","order_Verrucomicrobiales","23"
"family_Verrucomicrobiaceae","Gut microbiome","family_Verrucomicrobiaceae","23"
"genus_Akkermansia","Gut microbiome","Akkermansia","23"
"genus_Oscillibacter","Gut microbiome","Oscillibacter","23"
"genus_Parabacteroides","Gut microbiome","Parabacteroides","23"
"genus_Anaerotruncus","Gut microbiome","Anaerotruncus","10"
